Month_Year,Region,Photo,lp_dol,lp_code,ml_num,type_own1_out,tot_area,tot_areacd,lsc,addr,apt_num,municipality,zip,PropertyDetail,ListNum,latitude,longitude,class,br,bath_tot,province,style,City,Tax_Rate
2020-04,Halton,,938000.0,,O4697325,Detached,,,Sld,2405 Belyea St,,Oakville,L6L -1P,,,43.397262,-79.713398,Free,3.0,2.0,,Bungalow,Oakville,0.70997%
2020-04,Halton,,825000.0,,O4726627,Detached,,,Sld,15 Head St,,Oakville,L6K 1L3,,,43.442676,-79.674944,Free,3.0,2.0,,1 1/2 Storey,Oakville,0.70997%
2020-04,Halton,,929900.0,,O4729553,Detached,,,Sld,567 Stonecliffe Rd,,Oakville,L6L 4N8,,,43.4256996,-79.7060029,Free,3.0,2.0,,Bungalow,Oakville,0.70997%
2020-04,Halton,,1538888.0,,O4737072,Detached,,,Sld,1141 Windrush Dr,,Oakville,L6M 1S9,,,43.439589,-79.732376,Free,4.0,4.0,,2-Storey,Oakville,0.70997%
2020-04,Halton,,799900.0,,O4737859,Semi-Detached,,,Sld,1107 Gable Dr,,Oakville,L6J 7R3,,,43.493089,-79.655287,Free,3.0,2.0,,2-Storey,Oakville,0.70997%
2020-04,Halton,,799500.0,,O4742596,Detached,,,Sld,1300 Odessa Cres,,Oakville,L6H 1R8,,,43.455939,-79.708041,Free,3.0,2.0,,Other,Oakville,0.70997%
2020-04,Halton,,1084900.0,,O4746075,Detached,,,Sld,1364 Bramblewood,,Oakville,L6M 2R5,,,43.440692,-79.736433,Free,3.0,3.0,,2-Storey,Oakville,0.70997%
2020-04,Halton,,2699000.0,,W4612840,Detached,,,Sld,27 Reynolds St,,Oakville,L6J3J7,,,43.4466888,-79.6626874,Free,3.0,4.0,,2-Storey,Oakville,0.70997%
2020-04,Halton,,2099000.0,,W4629253,Detached,,,Sld,170 Wilder Dr,,Oakville,L6L5G3,,,43.4200375,-79.6872477,Free,4.0,3.0,,2-Storey,Oakville,0.70997%
2020-04,Halton,,2790000.0,,W4639421,Detached,,,Sld,432 Jeanette Dr,,Oakville,L6K 1M5,,,43.4324449,-79.6879427,Free,4.0,6.0,,2-Storey,Oakville,0.70997%
2020-04,Halton,,1599000.0,,W4700910,Detached,,,Sld,1373 Chalfield Dr,,Oakville,L6J6R6,,,43.5023598,-79.6640906,Free,4.0,4.0,,2-Storey,Oakville,0.70997%
2020-04,Halton,,999900.0,,W4706517,Semi-Detached,,,Sld,561 Stream Cres,,Oakville,L6M4K6,,,43.4767525,-79.7601477,Free,4.0,3.0,,2-Storey,Oakville,0.70997%
2020-04,Halton,,1229000.0,,W4706955,Detached,,,Sld,3206 Victoria St,,Oakville,L6L5R2,,,43.3858239,-79.7177051,Free,4.0,3.0,,2-Storey,Oakville,0.70997%
